"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C2,C3,C1";"C_Radial_D10_L21_P5";3;"680µ";;;
2;"C4,C5,C6";"C_Radial_D8_L13_P3.8";3;"220µ";;;
3;"C7,C8,C10";"C_Disc_D3_P2.5";3;"100n";;;
4;"CON1";"BARREL_JACK";1;"BARREL_JACK";;;
5;"D1,D2";"Diode_DO-201AD_Horizontal_RM15";2;"Schottky 5A";;;
6;"D3";"Diode_DO-201AD_Horizontal_RM15";1;"D_Schottky";;;
7;"L1,L2,L3";"Neosid_Inductor_MA-Bs75";3;"33µH";;;
8;"U1,U2,U3";"LM2596";3;"LM2596";;;
9;"U4";"Multiwatt_15_Vertical";1;"L298N";;;
10;"1k1";"R_Box_L13.0mm_W4.0mm_P9.00mm";1;"R";;;
11;"J12";"USB_A_Vertical";1;"USB_A";;;
12;"P1";"JST_EH_S02B-EH_02x2.50mm_Angled";1;"PeltS1S2";;;
13;"P3";"JST_EH_S02B-EH_02x2.50mm_Angled";1;"Fan+-";;;
14;"P4";"JST_EH_S03B-EH_03x2.50mm_Angled";1;"Therm +s-";;;
15;"P5";"JST_EH_S02B-EH_02x2.50mm_Angled";1;"HP1+-";;;
16;"P6";"JST_EH_S02B-EH_02x2.50mm_Angled";1;"HP2+-";;;
17;"P7";"JST_EH_S03B-EH_03x2.50mm_Angled";1;"servo -s+";;;
18;"P8";"JST_EH_S03B-EH_03x2.50mm_Angled";1;"Ring s-+";;;
19;"P9";"JST_EH_S04B-EH_04x2.50mm_Angled";1;"matrix sdsc-+";;;
20;"P10";"JST_EH_S04B-EH_04x2.50mm_Angled";1;"RGB R-GB";;;
21;"Q1,Q3,Q4";"TO-92_Inline_Narrow_Oval";3;"1A_NPN_ECB";;;
22;"Q2";"TO-92_Inline_Narrow_Oval";1;"1A-NPN-ECB";;;
23;"R1";"TO-220-2_Vertical";1;"1";;;
24;"R2,R3,R4,R5";"R_Box_L13.0mm_W4.0mm_P9.00mm";4;"270";;;
25;"R7,R8,R9";"R_Box_L13.0mm_W4.0mm_P9.00mm";3;"220";;;
26;"U5";"DIP-32_W15.24mm_LongPads";1;"arduino_mini";;;
