References	Qty	Description	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
U1,U2,U3	3	LM2596S-5 TO-263-5_TabPin3	Texas Instruments	LM2596SX-5.0/NOPB									LM2596SX-5.0/NOPBDKR-ND	926LM2596SX5.0NOPB		85X6230	1496094
R9,R10,R11,R12,R13,R14	6	R_1812_HandSoldering	Panasonic	ERJ-MS4SF1M0U									P17089CT-ND	667ERJMS4SF1M0U			
R8	1	Resistor 1812 1k1															2380814
R7,R6,R5	3	Resistor 1812 220ohm	Panasonic	ERJ-12ZYJ221U	Panasonic	ERJ-12YJ221U							P220WCT-ND	667ERJ12ZYJ221U		85Y7788	2323950
R4,R3,R2,R1	4	1812 270ohm	Royal Ohm	1208908	Panasonic	ERJ-12YJ271U	Panasonic	ERJ-S12J271U	Yageo	RC1218FK-07270RL	Panasonic	ERJ-U12F2700U	RC1218JK-07270RL-ND	603RC1218JK07270RL			2380862
Q1,Q2,Q3,Q4	4	1A NPN ECB SOT-89-3_Handsoldering	Nexperia	BCX55-10,115									1727-4915-6-ND	771BCX5510115		34R2978	1757913RL
P9,P10	2	JST_EH_S04B-EH_04x2.50mm_Angled	JST	S4B-EH (LF)(SN) |									455-1627-ND				1830721
P7,P8	2	JST_EH_S03B-EH_03x2.50mm_Angled	JST	S3B-EH (LF)(SN)									455-1626-ND			49Y7627	2481438
P1,P3,P4,P5,P6	5	JST_EH_S02B-EH_02x2.50mm_Angled	JST	S2B-EH (LF)(SN)									455-1625-ND			49Y7626	2481437
L298H1	1	L298P HSOP-20-1EP_11.0x15.9mm	STMicroelectronics	L298P013TR									497-3624-1-ND	511L298PTR	8805308P	18AC7426	2762687
L1,L2,L3	3	Inductor 6.3x6.3_H3 33µH	Bourns	SRR7045-330M									SRR7045-330MCT-ND	652SRR7045330M			2821614
J1	1	USB_A_Vertical	FCI	73725-0110BLF	ICC	73725-0110BLF							609-1041-ND	649737250110BLF	7710048	53K1476	2112380 
D1,D2,D3	3	D_SMB-SMC_Universal_Handsoldering Schottky 5A	Diotec	SK54													
C4,C5,C6	3	CP_Elec_6.3x5.3 220µ	Panasonic	EEEFPC221XAP									PCE4537CT-ND	667EEEFPC221XAP		94M6992	
C10,C7,C8	3	Resistor 1812 100nF															
C1,C2,C3	3	CP_Elec_10x10 680µ	Nichicon	UCL1C681MNL1GS									493-3928-1-ND	647UCL1C681MNL1GS			
barrel1	1	Barrel Jack CUI PJ-102AH	CUI	PJ-102AH									CP-102AH-ND	490PJ102AH			
A1	2	Arduino_Nano connector 2.54 mm		MP70S													
